id,value
id_0,6.680816513164007
id_1,18.175042958359814
id_2,23.418748146266903
id_3,7.718372911343309
id_4,27.034571791813228
id_5,22.24885315696474
id_6,23.844862287405675
id_7,30.460335930669395
id_8,16.859794092616468
id_9,59.68548560443344
id_10,11.678653765482157
id_11,9.339111386720148
id_12,63.43871399049274
id_13,53.236686234248516
id_14,22.198433126132784
id_15,12.162145428580812
id_16,32.49195647327168
id_17,66.67425388005489
id_18,-0.4187691332887624
id_19,17.161492900998283
id_20,41.699698195290004
id_21,72.09611187087398
id_22,9.37037363643941
id_23,17.733537532456033
id_24,14.756262623023051
id_25,37.647562182740955
id_26,14.607239932847751
id_27,69.93385286212622
id_28,7.260237456733275
id_29,55.42716919716852
id_30,24.440041872449843
id_31,8.478487779920911
id_32,2.508198851311718
id_33,18.73421244346392
id_34,27.79250642400228
id_35,37.25348277752755
id_36,43.28692844511528
id_37,29.830220796329648
id_38,42.17043562791798
id_39,35.1577040500985
id_40,7.659694193735813
id_41,41.26970484677594
id_42,30.59147826564387
id_43,50.96158384419648
id_44,17.513819050941088
id_45,35.366976314739496
id_46,24.629816668718032
id_47,9.624610666381006
id_48,26.79306137531787
id_49,32.25103698114781
id_50,20.124363222136303
id_51,7.97103689891166
id_52,20.552012742407097
id_53,52.69998894520387
id_54,15.920911160751375
id_55,36.56368758671627
id_56,32.80823290998161
id_57,20.757998055436136
id_58,57.39761139644206
id_59,22.722106941474507
id_60,14.335257664161563
id_61,41.81089869029653
id_62,12.567878290347302
id_63,48.42385824486154
id_64,14.260651098126111
id_65,15.133691933703295
id_66,14.454908996676025
id_67,-0.9288381871391351
id_68,43.80834918466945
id_69,29.09881010532412
id_70,20.113662118636057
id_71,41.80007672423728
id_72,60.844788187942484
id_73,5.432091428657561
id_74,16.47563988514671
id_75,3.485203931726616
id_76,40.56564863614495
id_77,13.966918991404077
id_78,21.558354358763136
id_79,21.058696167807383
id_80,23.964586801878365
id_81,36.10027954090502
id_82,21.769100782379496
id_83,92.47407496163353
id_84,37.27020750437576
id_85,27.889533989113666
id_86,21.98822361958776
id_87,33.723750326465456
id_88,23.3642852280356
id_89,19.833299647710593
id_90,28.90207774620353
id_91,41.53793128275004
id_92,4.707381543274959
id_93,38.87193562750092
id_94,45.910072868551
id_95,16.43383106391966
id_96,31.66588425572305
id_97,13.015147298331616
id_98,23.481232176537674
id_99,4.577174936334213
id_100,18.139407751770804
id_101,26.372898494285316
id_102,14.070790464876286
id_103,15.862042229260222
id_104,23.92911242629306
id_105,39.70188860440493
id_106,31.53291757457835
id_107,6.365169875812988
id_108,6.0494016757534705
id_109,78.46769014566738
id_110,48.03728564649097
id_111,17.027094650608735
id_112,27.80371286828905
id_113,15.263296684704859
id_114,13.654168206851079
id_115,24.951663484159734
id_116,26.590732526924832
id_117,10.48705759032747
id_118,17.822560486227474
id_119,19.44275309385031
id_120,80.62690494224444
id_121,25.611670414986165
id_122,37.33951141493141
id_123,25.22741595737322
id_124,7.399317607371481
id_125,38.50375777760275
id_126,9.132374074519461
id_127,21.977812163064527
